OID_,ppt_ID,shed,scen,treatment,delta
,772, ,1,30,0.944868
,776, ,1,30,8.3498402
,779, ,1,30,0
,781, ,1,30,0
,784, ,1,30,2.20122
,788, ,1,30,0
,789, ,1,30,2.7560401
,796, ,1,30,10
,800, ,1,30,1.70397
,801, ,1,30,0
,809, ,1,30,0
,810, ,1,30,3.0924699
,815, ,1,30,1.7335401
,824, ,1,30,0
,825, ,1,30,0.689045
,869, ,1,30,0
,873, ,1,30,0
,876, ,1,30,0
,878, ,1,30,1.72695
,887, ,1,30,1.74143
,889, ,1,30,0.768311
,890, ,1,30,0.64191
,891, ,1,30,2.2750599
,904, ,1,30,1.42363
,916, ,1,30,0
,918, ,1,30,1.77039
,919, ,1,30,0
,921, ,1,30,2.15308
,924, ,1,30,1.4272799
,928, ,1,30,0
,929, ,1,30,9.5466003
,931, ,1,30,0
,934, ,1,30,9.5928297
,947, ,1,30,0.596723
,948, ,1,30,0
,952, ,1,30,1.50966
,953, ,1,30,1.99077
,954, ,1,30,0
,955, ,1,30,0
,956, ,1,30,2.00179
,959, ,1,30,1.43682
,963, ,1,30,1.74694
,974, ,1,30,3.8425701
,975, ,1,30,1.83453
,977, ,1,30,6.6666598
,985, ,1,30,2.94118
,989, ,1,30,1.36298
